socks4 188.165.254.122 12328
socks4 190.228.134.14 4153
http 103.38.80.140 3128
socks4 186.87.179.54 5678
http 218.244.147.59 3128
socks4 187.177.30.154 4145
http 103.4.167.197 80
socks4 187.157.30.202 4153
http 103.213.116.10 8080
socks4 178.151.205.154 38421
http 91.227.183.110 8080
socks4 178.189.11.134 61039
http 190.24.113.138 999
socks4 154.73.85.37 57932
socks4 170.210.4.222 38432
socks5 98.178.72.21 10919
socks4 163.53.204.182 56447
socks4 113.69.136.232 1080
http 12.31.246.5 8080
socks5 98.162.96.41 4145
socks4 116.237.130.82 4145
http 103.29.185.189 8080
socks5 98.162.96.52 4145
http 161.22.33.181 999
socks5 98.162.25.29 31679
http 117.54.114.96 80
socks5 98.162.25.23 4145
socks4 46.36.70.40 1080
socks4 72.195.34.60 27391
http 217.21.214.139 8080
http 212.92.204.54 8080
socks4 49.0.2.243 5430
socks5 82.165.109.7 10003
socks4 72.195.34.58 4145
http 103.29.185.54 8181
socks4 49.156.152.28 5678
socks4 72.49.49.11 31034
http 89.179.244.233 20000
http 192.99.160.45 8080
socks5 62.171.166.158 33220
socks4 45.10.71.70 8888
socks5 192.252.214.20 15864
http 94.181.48.110 1256
http 181.224.50.137 8080
socks5 192.252.208.67 14287
socks4 36.71.150.135 5678
http 94.28.8.61 8080
socks4 31.24.205.66 4145
socks4 41.79.34.26 5678
socks4 36.37.202.62 5678
socks5 72.221.164.34 60671
socks4 200.52.144.170 33865
http 38.7.16.81 999
socks4 200.34.215.1 4153
http 43.242.135.182 8080
socks5 98.162.25.7 31653
http 41.65.236.48 1976
http 117.54.114.101 80
socks4 200.2.196.42 5678
socks5 192.252.215.5 16137
socks4 200.85.52.170 5678
socks4 187.94.211.60 2580
http 103.15.60.21 8080
socks5 35.244.6.175 1080
socks5 51.83.140.70 8181
N/A 5.189.229.42 socks5
socks4 189.113.73.33 5678
socks5 192.252.211.197 14921
http 86.110.27.165 3128
http 208.85.22.184 1987
socks4 186.1.206.158 1080
socks4 180.211.95.14 5678
socks5 72.210.252.137 4145
http 95.111.239.49 3128
http 186.97.172.178 60080
socks4 177.99.225.91 4153
socks5 98.188.47.132 4145
socks4 177.207.192.137 4145
socks5 87.193.164.226 10001
socks4 164.163.21.14 8291
http 61.8.77.3 8088
socks5 212.20.41.226 10001
socks4 151.80.252.69 10679
socks5 95.216.199.159 57373
http 192.119.203.124 48678
socks5 35.221.141.118 1080
socks4 169.255.189.106 4145
socks5 72.221.232.155 4145
http 94.140.242.221 8080
socks5 159.65.106.46 9050
http 181.224.207.20 999
socks4 113.57.92.6 10800
http 84.205.17.234 8080
socks4 123.136.29.181 5678
socks5 43.128.36.71 3389
socks5 98.170.57.231 4145
http 117.54.114.100 80
socks4 123.49.53.170 5678
http 125.163.162.119 8080
socks5 72.195.34.42 4145
socks4 103.239.52.97 4153
socks4 103.130.113.245 5678
N/A 79.143.30.163 socks5
socks5 72.195.34.59 4145
socks5 192.111.137.35 4145
http 85.117.56.151 8080
http 103.120.175.75 8080
socks4 8.40.133.10 1099
http 80.85.58.55 8080
socks5 192.111.130.2 4145
